dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.613311,39.569033,0.001000,0.200000,20.000000,2000.000000,6.282014
0.010000,5.613033,39.569033,0.001279,0.027861,-17.213896,-3721.389586,6.282035
0.010000,5.612406,39.569034,0.001905,0.062684,3.482258,2069.615386,6.282084
0.010000,5.611292,39.569035,0.003020,0.111425,4.874120,139.186224,6.282169
0.010000,5.609551,39.569037,0.004760,0.174069,6.264385,139.026464,6.282303
0.010000,5.607045,39.569039,0.007266,0.250589,7.652032,138.764727,6.282496
0.010000,5.603636,39.569041,0.010676,0.340947,9.035785,138.375316,6.282758
0.010000,5.599185,39.569042,0.015127,0.445088,10.414109,137.832332,6.283101
0.010000,5.658714,39.569053,0.074655,5.952885,550.779668,54036.555986,0.000348
0.010000,5.751769,39.569110,0.167710,9.305496,335.261181,-21551.848702,0.000883
0.010000,5.864374,39.569246,0.280316,11.260517,195.502031,-13975.915081,0.001528
0.010000,5.998391,39.569502,0.414333,13.401764,214.124724,1862.269323,0.002296
0.010000,6.155696,39.569934,0.571639,15.730586,232.882248,1875.752407,0.003196
0.010000,6.338152,39.570612,0.754096,18.245653,251.506630,1862.438210,0.004238
0.010000,6.547629,39.571625,0.963576,20.948014,270.236136,1872.950616,0.005431
0.010000,6.786003,39.573081,1.201953,23.837771,288.975703,1873.956683,0.006787
0.010000,7.055149,39.575113,1.471108,26.915402,307.763077,1878.737367,0.008313
0.010000,7.356950,39.577880,1.772921,30.181329,326.592747,1882.967068,0.010020
0.010000,7.693281,39.581569,2.109273,33.635176,345.384682,1879.193500,0.011916
0.010000,8.066031,39.586402,2.482054,37.278118,364.294138,1890.945576,0.014010
0.010000,8.477091,39.592634,2.893161,41.110738,383.262078,1896.793964,0.016309
0.010000,8.928354,39.600562,3.344494,45.133300,402.256162,1899.408422,0.018822
0.010000,9.421715,39.610524,3.837955,49.346118,421.281756,1902.559428,0.021556
0.010000,9.959076,39.622906,4.375459,53.750378,440.426069,1914.431297,0.024517
0.010000,10.542343,39.638143,4.958925,58.346606,459.622817,1919.674724,0.027712
0.010000,11.172496,39.656692,5.589351,63.042571,469.596498,997.368107,0.031141
0.010000,11.849580,39.679025,6.266803,67.745177,470.260522,66.402412,0.034798
0.010000,12.573640,39.705640,6.991352,72.454933,470.975625,71.510371,0.038679
0.010000,13.344731,39.737064,7.763083,77.173105,471.817231,84.160578,0.042776
0.010000,14.162901,39.773853,8.582080,81.899716,472.661127,84.389561,0.047084
0.010000,15.028203,39.816585,9.448436,86.635623,473.590689,92.956219,0.051595
0.010000,15.940690,39.865864,10.362253,91.381645,474.602211,101.152207,0.056302
0.010000,16.899474,39.922259,11.322694,96.044158,466.251235,-835.097633,0.061191
0.010000,17.902736,39.986276,12.327996,100.530156,448.599836,-1765.139895,0.066244
0.010000,18.948647,40.058402,13.376392,104.839576,430.941994,-1765.784165,0.071445
0.010000,20.035378,40.139093,14.466114,108.972211,413.263477,-1767.851678,0.076774
0.010000,21.161091,40.228777,15.595393,112.927952,395.574071,-1768.940625,0.082213
0.010000,22.323948,40.327844,16.762463,116.706999,377.904768,-1766.930301,0.087746
0.010000,23.522105,40.436645,17.965550,120.308628,360.162839,-1774.192941,0.093355
0.010000,24.753711,40.555489,19.202877,123.732713,342.408540,-1775.429894,0.099022
0.010000,26.016915,40.684638,20.472665,126.978841,324.612766,-1779.577418,0.104730
0.010000,27.309858,40.824307,21.773131,130.046539,306.769811,-1784.295479,0.110464
0.010000,28.630681,40.974659,23.102483,132.935285,288.874633,-1789.517821,0.116206
0.010000,29.977518,41.135808,24.458927,135.644311,270.902559,-1797.207394,0.121941
0.010000,31.348501,41.307812,25.840658,138.173110,252.879967,-1802.259138,0.127653
0.010000,32.741760,41.490675,27.245866,140.520822,234.771127,-1810.884022,0.133330
0.010000,34.155422,41.684349,28.672733,142.686687,216.586552,-1818.457498,0.138955
0.010000,35.587611,41.888729,30.119431,144.669852,198.316531,-1827.002105,0.144517
0.010000,37.036450,42.103658,31.584125,146.469415,179.956224,-1836.030744,0.150001
0.010000,38.500061,42.328923,33.064970,148.084440,161.502536,-1845.368763,0.155398
0.010000,39.976563,42.564260,34.560109,149.513964,142.952419,-1855.011671,0.160695
0.010000,41.464076,42.809355,36.067679,150.756994,124.303019,-1864.940035,0.165882
0.010000,42.960718,43.063843,37.585803,151.812377,105.538287,-1876.473227,0.170949
0.010000,44.464606,43.327311,39.112596,152.679289,86.691202,-1884.708449,0.175888
0.010000,45.973860,43.599302,40.646162,153.356609,67.732008,-1895.919363,0.180690
0.010000,47.486593,43.879316,42.184594,153.843136,48.652682,-1907.932676,0.185349
0.010000,49.000924,44.166812,43.725973,154.137941,29.480498,-1917.218336,0.189858
0.010000,50.515915,44.461396,45.269339,154.336573,19.863169,-961.732973,0.194215
0.010000,52.031576,44.762849,46.814688,154.534890,19.831692,-3.147672,0.198419
0.010000,53.547922,45.070949,48.362017,154.732985,19.809555,-2.213655,0.202470
0.010000,55.064969,45.385477,49.911327,154.930923,19.793784,-1.577157,0.206369
0.010000,56.582734,45.706211,51.462611,155.128427,19.750340,-4.344359,0.210117
0.010000,58.101240,46.032930,53.015866,155.325556,19.712888,-3.745255,0.213712
0.010000,59.620509,46.365413,54.571091,155.522453,19.689782,-2.310533,0.217156
0.010000,61.140566,46.703438,56.128280,155.718872,19.641876,-4.790638,0.220450
0.010000,62.661440,47.046784,57.687428,155.914779,19.590727,-5.114918,0.223592
0.010000,64.183160,47.395229,59.248532,156.110439,19.565952,-2.477518,0.226584
0.010000,65.705759,47.748553,60.811588,156.305636,19.519743,-4.620863,0.229426
0.010000,67.229268,48.106534,62.376590,156.500204,19.456808,-6.293476,0.232118
0.010000,68.753727,48.468950,63.943536,156.694554,19.434994,-2.181452,0.234660
0.010000,70.279171,48.835581,65.512420,156.888466,19.391120,-4.387377,0.237054
0.010000,71.805640,49.206204,67.083238,157.081774,19.330836,-6.028414,0.239299
0.010000,73.333175,49.580600,68.655986,157.274811,19.303753,-2.708268,0.241395
0.010000,74.861821,49.958545,70.230661,157.467479,19.266749,-3.700429,0.243343
0.010000,76.391621,50.339820,71.807258,157.659671,19.219188,-4.756054,0.245143
0.010000,77.922620,50.724203,73.385773,157.851500,19.182929,-3.625947,0.246796
0.010000,79.454868,51.111472,74.966204,158.043071,19.157135,-2.579408,0.248301
0.010000,80.988414,51.501405,76.548547,158.234302,19.123018,-3.411713,0.249659
0.010000,82.523306,51.893781,78.132798,158.425133,19.083120,-3.989767,0.250871
0.010000,84.059597,52.288378,79.718956,158.615818,19.068563,-1.455692,0.251936
0.010000,85.597340,52.684974,81.307019,158.806255,19.043643,-2.491972,0.252854
0.010000,87.136589,53.083345,82.896983,158.996424,19.016889,-2.675415,0.253626
0.010000,88.677398,53.483270,84.488847,159.186449,19.002543,-1.434643,0.254252
0.010000,90.219824,53.884524,86.082611,159.376349,18.989988,-1.255470,0.254731
0.010000,91.763923,54.286884,87.678272,159.566120,18.977079,-1.290931,0.255065
0.010000,93.309752,54.690125,89.275830,159.755799,18.967945,-0.913321,0.255253
0.010000,94.857370,55.094023,90.875285,159.945457,18.965743,-0.220207,0.255295
0.010000,96.406835,55.498352,92.476636,160.135091,18.963428,-0.231508,0.255191
0.010000,97.958207,55.902886,94.079883,160.324760,18.966892,0.346338,0.254941
0.010000,99.511546,56.307397,95.685028,160.514485,18.972555,0.566384,0.254546
0.010000,101.066911,56.711657,97.292071,160.704284,18.979820,0.726427,0.254004
0.010000,102.624363,57.115437,98.901013,160.894212,18.992819,1.299897,0.253316
0.010000,104.183962,57.518508,100.511856,161.084346,19.013428,2.060943,0.252482
0.010000,105.745769,57.920638,102.124602,161.274605,19.025903,1.247483,0.251501
0.010000,107.309844,58.321595,103.739253,161.465071,19.046564,2.066151,0.250374
0.010000,108.876248,58.721146,105.355812,161.655882,19.081135,3.457016,0.249101
0.010000,110.445041,59.119056,106.974281,161.846903,19.102116,2.098177,0.247680
0.010000,112.016281,59.515088,108.594663,162.038188,19.128465,2.634884,0.246112
0.010000,113.590028,59.909007,110.216961,162.229858,19.166965,3.849992,0.244397
0.010000,115.166342,60.300572,111.841181,162.421927,19.206907,3.994222,0.242534
0.010000,116.745279,60.689543,113.467323,162.614250,19.232375,2.546782,0.240523
0.010000,118.326895,61.075678,115.095393,162.806959,19.270903,3.852813,0.238364
0.010000,119.911249,61.458734,116.725396,163.000278,19.331818,6.091486,0.236056
0.010000,121.498393,61.838464,118.357334,163.193801,19.352373,2.055431,0.233599
0.010000,123.088381,62.214622,119.991211,163.387742,19.394099,4.172698,0.230993
0.010000,124.681265,62.586959,121.627034,163.582300,19.455720,6.162062,0.228237
0.010000,126.277096,62.955224,123.264806,163.777171,19.487115,3.139500,0.225332
0.010000,127.875922,63.319165,124.904530,163.972406,19.523547,3.643196,0.222276
0.010000,129.477789,63.678526,126.546212,164.168211,19.580458,5.691115,0.219070
0.010000,131.082744,64.033051,128.189856,164.364421,19.621014,4.055584,0.215712
0.010000,132.690826,64.382482,129.835465,164.560905,19.648455,2.744076,0.212204
0.010000,134.302076,64.726558,131.483044,164.757881,19.697596,4.914131,0.208544
0.010000,135.916532,65.065017,133.132597,164.955289,19.740793,4.319649,0.204732
0.010000,137.534228,65.397595,134.784125,165.152857,19.756773,1.598027,0.200768
0.010000,139.155194,65.724026,136.437634,165.350806,19.794920,3.814739,0.196652
0.010000,140.779461,66.044041,138.093125,165.549128,19.832205,3.728520,0.192383
0.010000,142.407050,66.357371,139.750600,165.747473,19.834432,0.222626,0.187962
0.010000,144.037984,66.663745,141.410060,165.946049,19.857682,2.324999,0.183388
0.010000,145.672280,66.962888,143.071508,166.144844,19.879456,2.177410,0.178661
0.010000,147.309950,67.254526,144.734943,166.343498,19.865348,-1.410799,0.173781
0.010000,148.951003,67.538383,146.400365,166.542183,19.868586,0.323837,0.168749
0.010000,150.595444,67.814180,148.067774,166.740837,19.865337,-0.324886,0.163563
0.010000,152.243271,68.081638,149.737165,166.939152,19.831528,-3.380909,0.158226
0.010000,153.894479,68.340478,151.408537,167.137232,19.808010,-2.351823,0.152735
0.010000,155.549057,68.590418,153.081887,167.334946,19.771400,-3.661016,0.147093
0.010000,157.206988,68.831176,154.757208,167.532079,19.713313,-5.808674,0.141299
0.010000,158.868250,69.062469,156.434494,167.728625,19.654526,-5.878706,0.135353
0.010000,160.532816,69.284014,158.113738,167.924406,19.578138,-7.638850,0.129257
0.010000,162.200650,69.495528,159.794931,168.119304,19.489798,-8.833989,0.123012
0.010000,163.871713,69.696729,161.478063,168.313162,19.385829,-10.396860,0.116617
0.010000,165.545957,69.887332,163.163121,168.505814,19.265195,-12.063409,0.110073
0.010000,167.223328,70.067058,164.850093,168.697209,19.139475,-12.571985,0.103383
0.010000,168.903764,70.235624,166.538963,168.887010,18.980148,-15.932745,0.096547
0.010000,170.587199,70.392750,168.229714,169.075126,18.811581,-16.856694,0.089565
0.010000,172.273557,70.538160,169.922330,169.261538,18.641135,-17.044596,0.082441
0.010000,173.962753,70.671577,171.616787,169.445720,18.418216,-22.291891,0.075175
0.010000,175.654698,70.792727,173.313064,169.627678,18.195869,-22.234640,0.067768
0.010000,177.349295,70.901342,175.011138,169.807429,17.975035,-22.083490,0.060224
0.010000,179.046436,70.997152,176.710981,169.984287,17.685848,-28.918688,0.052543
0.010000,180.746005,71.079895,178.412563,170.158251,17.396360,-28.948774,0.044729
0.010000,182.447885,71.149313,180.115858,170.329494,17.124343,-27.201726,0.036783
0.010000,184.151943,71.205149,181.820831,170.497265,16.777111,-34.723198,0.028708
0.010000,185.858038,71.247156,183.527443,170.661177,16.391142,-38.596873,0.020506
0.010000,187.566029,71.275090,185.235662,170.821945,16.076807,-31.433525,0.012181
0.010000,189.275763,71.288713,186.945450,170.978816,15.687151,-38.965609,0.003736
0.010000,190.987069,71.287794,188.656756,171.130614,15.179759,-50.739161,6.278358
0.010000,192.699785,71.272112,190.369544,171.278771,14.815689,-36.406984,6.269682
0.010000,194.413735,71.241448,192.083769,171.422461,14.368985,-44.670393,6.260895
0.010000,196.128734,71.195597,193.799381,171.561235,13.877440,-49.154513,6.252002
0.010000,197.844582,71.134360,195.516321,171.693978,13.274309,-60.313099,6.243005
0.010000,199.561089,71.057547,197.234546,171.822507,12.852898,-42.141095,6.233911
0.010000,201.278051,70.964978,198.954002,171.945596,12.308850,-54.404840,6.224721
0.010000,202.995258,70.856483,200.674632,172.063040,11.744485,-56.436520,6.215442
0.010000,204.712485,70.731904,202.396372,172.174011,11.097016,-64.746878,6.206077
0.010000,206.429510,70.591093,204.119162,172.278958,10.494770,-60.224531,6.196630
0.010000,208.146112,70.433912,205.842945,172.378311,9.935302,-55.946851,6.187108
0.010000,209.862059,70.260237,207.567658,172.471321,9.300930,-63.437192,6.177514
0.010000,211.577114,70.069954,209.293237,172.557839,8.651824,-64.910621,6.167854
0.010000,213.291037,69.862964,211.019614,172.637734,7.989466,-66.235741,6.158132
0.010000,215.003586,69.639177,212.746723,172.710888,7.315473,-67.399386,6.148354
0.010000,216.714516,69.398520,214.474495,172.777204,6.631585,-68.388757,6.138525
0.010000,218.423577,69.140930,216.202859,172.836396,5.919159,-71.242646,6.128650
0.010000,220.130521,68.866358,217.931746,172.888676,5.228018,-69.114034,6.118735
0.010000,221.835104,68.574767,219.661089,172.934282,4.560567,-66.745119,6.108785
0.010000,223.537076,68.266136,221.390817,172.972890,3.860889,-69.967819,6.098805
0.010000,225.681815,67.819614,223.581545,219.072767,4609.987703,460612.681442,6.048906
0.010000,228.055955,67.168600,226.043325,246.178012,2710.524425,-189946.327782,5.982581
0.010000,230.333343,66.383482,228.452247,240.892196,-528.581557,-323910.598223,5.920326
0.010000,232.500048,65.488276,230.796603,234.435579,-645.661702,-11708.014492,5.863043
0.010000,234.549871,64.507307,233.069063,227.246032,-718.954723,-7329.302171,5.811296
0.010000,236.483043,63.463181,235.266187,219.712347,-753.368510,-3441.378675,5.765348
0.010000,238.304447,62.375684,237.387545,212.135862,-757.648460,-427.994991,5.725233
0.010000,240.021855,61.261453,239.434739,204.719333,-741.652921,1599.553886,5.690826
0.010000,241.644484,60.134169,241.410515,197.577672,-714.166075,2748.684577,5.661914
0.010000,243.181297,59.005501,243.317263,190.674779,-690.289325,2387.675059,5.638260
0.010000,244.640207,57.885820,245.156313,183.904969,-676.980997,1330.832806,5.619628
0.010000,246.028447,56.784120,246.928586,177.227348,-667.762119,921.887803,5.605793
0.010000,247.352553,55.708192,248.634716,170.612943,-661.440461,632.165746,5.596552
0.010000,248.618192,54.664914,250.274920,164.020460,-659.248300,219.216159,5.591734
0.010000,249.830084,53.660477,251.848952,157.403168,-661.729219,-248.091960,5.591204
0.010000,250.991975,52.700530,253.356098,150.714566,-668.860217,-713.099738,5.594864
0.010000,252.106638,51.790255,254.795221,143.912292,-680.227375,-1136.715835,5.602646
0.010000,253.175913,50.934387,256.164841,136.961989,-695.030265,-1480.289036,5.614510
0.010000,254.200747,50.137160,257.463246,129.840536,-712.145316,-1711.505071,5.630435
0.010000,255.181286,49.402212,258.688646,122.539971,-730.056488,-1791.117228,5.650403
0.010000,256.116993,48.732431,259.839364,115.071853,-746.811877,-1675.538906,5.674390
0.010000,257.006821,48.129773,260.914070,107.470590,-760.126291,-1331.441333,5.702345
0.010000,257.849463,47.595060,261.912049,99.797929,-767.266119,-713.982863,5.734169
0.010000,258.643648,47.127813,262.833488,92.143849,-765.408002,185.811744,5.769692
0.010000,259.388514,46.726129,263.679759,84.627119,-751.672952,1373.505028,5.808657
0.010000,260.083976,46.386689,264.453637,77.387819,-723.929972,2774.297932,5.850696
0.010000,260.731056,46.104900,265.159412,70.577473,-681.034651,4289.532160,5.895326
0.010000,261.332074,45.875207,265.802826,64.341382,-623.609045,5742.560616,5.941950
0.010000,261.890643,45.691529,266.390820,58.799374,-554.200807,6940.823748,5.989881
0.010000,262.411420,45.547736,266.931084,54.026447,-477.292700,7690.810706,6.038374
0.010000,262.899656,45.438092,267.431480,50.039570,-398.687679,7860.502103,6.086671
0.010000,263.360616,45.357557,267.899422,46.794252,-324.531863,7415.581612,6.134047
0.010000,263.799007,45.301901,268.341332,44.190941,-260.331072,6420.079131,6.179855
0.010000,264.218524,45.267655,268.762244,42.091235,-209.970661,5036.041083,6.223552
0.010000,264.621908,45.251936,269.165934,40.369034,-172.220048,3775.061300,6.264751
0.010000,265.011029,45.252296,269.555055,38.912095,-145.693864,2652.618363,0.020040
0.010000,265.386747,45.266579,269.931045,37.599019,-131.307597,1438.626670,0.055678
0.010000,265.749008,45.292782,270.294253,36.320740,-127.827944,347.965345,0.088453
0.010000,266.097087,45.328959,270.644207,34.995394,-132.534601,-470.665649,0.118402
0.010000,266.429818,45.373180,270.979863,33.565617,-142.977661,-1044.306069,0.145605
0.010000,266.745773,45.423519,271.299803,31.994032,-157.158536,-1418.087485,0.170171
0.010000,267.043799,45.478153,271.602795,30.299203,-169.482872,-1232.433612,0.192250
0.010000,267.323275,45.535451,271.888085,28.528962,-177.024107,-754.123515,0.212031
0.010000,267.583864,45.593980,272.155166,26.708083,-182.087958,-506.385019,0.229706
0.010000,267.825405,45.652484,272.403691,24.852500,-185.558236,-347.027807,0.245459
0.010000,268.047879,45.709885,272.633450,22.975955,-187.654518,-209.628211,0.259456
0.010000,268.251472,45.765287,272.844447,21.099684,-187.627143,2.737425,0.271854
0.010000,268.436481,45.817957,273.036807,19.235988,-186.369538,125.760534,0.282793
0.010000,268.603388,45.867333,273.210864,17.405713,-183.027565,334.197356,0.292406
0.010000,268.752761,45.912987,273.367059,15.619480,-178.623236,440.432890,0.300809
0.010000,268.885296,45.954636,273.505984,13.892454,-172.702665,592.057054,0.308112
0.010000,269.001771,45.992110,273.628339,12.235514,-165.693939,700.872640,0.314416
0.010000,269.103044,46.025347,273.734926,10.658744,-157.677069,801.686922,0.319811
0.010000,269.190038,46.054379,273.826636,9.171008,-148.773548,890.352164,0.324383
0.010000,269.263728,46.079315,273.904431,7.779527,-139.148058,962.549008,0.328213
0.010000,269.325148,46.100340,273.969350,6.491905,-128.762215,1038.584316,0.331374
0.010000,269.375352,46.117685,274.022466,5.311562,-118.034348,1072.786685,0.333938
0.010000,269.415420,46.131631,274.064891,4.242532,-106.902970,1113.137752,0.335971
0.010000,269.446470,46.142501,274.097789,3.289787,-95.274531,1162.843894,0.337539
0.010000,269.469649,46.150652,274.122360,2.457023,-83.276351,1199.818054,0.338705
0.010000,269.486079,46.156447,274.139782,1.742243,-71.478066,1179.828450,0.339529
0.010000,269.496934,46.160285,274.151296,1.151387,-59.085593,1239.247300,0.340073
0.010000,269.503369,46.162563,274.158122,0.682633,-46.875411,1221.018258,0.340395
0.010000,269.506547,46.163689,274.161493,0.337091,-34.554125,1232.128545,0.340554
0.010000,269.507634,46.164074,274.162647,0.115379,-22.171256,1238.286965,0.340608
0.010000,269.507802,46.164133,274.162825,0.017765,-9.761353,1240.990274,0.340616
0.010000,269.507802,46.164133,274.162825,0.000000,-1.776531,798.482187,0.340616
