dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.598083,26.569042,0.001000,0.200000,20.000000,2000.000000,6.282014
0.010000,5.598083,26.569042,0.005000,0.600000,40.000000,2000.000000,6.282035
0.010000,5.598083,26.569042,0.014000,1.200000,60.000000,2000.000000,6.282084
0.010000,5.598083,26.569042,0.030000,2.000000,80.000000,2000.000000,6.282169
0.010000,5.598083,26.569042,0.055000,3.000000,100.000000,2000.000000,6.282303
0.010000,5.598083,26.569042,0.091000,4.200000,120.000000,2000.000000,6.282496
0.010000,5.598083,26.569042,0.140000,5.600000,140.000000,2000.000000,6.282758
0.010000,5.598083,26.569042,0.204000,7.200000,160.000000,2000.000000,6.283101
0.010000,5.663242,26.569053,0.285000,9.000000,180.000000,2000.000000,0.000348
0.010000,5.763242,26.569115,0.385000,11.000000,200.000000,2000.000000,0.000883
0.010000,5.884242,26.569261,0.506000,13.200000,220.000000,2000.000000,0.001528
0.010000,6.028239,26.569536,0.650000,15.600000,240.000000,2000.000000,0.002296
0.010000,6.197241,26.570000,0.819000,18.200000,260.000000,2000.000000,0.003196
0.010000,6.393240,26.570729,1.015000,21.000000,280.000000,2000.000000,0.004238
0.010000,6.618237,26.571816,1.240000,24.000000,300.000000,2000.000000,0.005431
0.010000,6.874231,26.573380,1.496000,27.200000,320.000000,2000.000000,0.006787
0.010000,7.163222,26.575562,1.785000,30.600000,340.000000,2000.000000,0.008313
0.010000,7.487210,26.578533,2.109000,34.200000,360.000000,2000.000000,0.010020
0.010000,7.848187,26.582492,2.470000,38.000000,380.000000,2000.000000,0.011916
0.010000,8.248152,26.587677,2.870000,42.000000,400.000000,2000.000000,0.014010
0.010000,8.689101,26.594363,3.311000,46.200000,420.000000,2000.000000,0.016309
0.010000,9.173028,26.602865,3.795000,50.600000,440.000000,2000.000000,0.018822
0.010000,9.701920,26.613545,4.324000,55.200000,460.000000,2000.000000,0.021556
0.010000,10.277767,26.626813,4.900000,60.000000,480.000000,2000.000000,0.024517
0.010000,10.902552,26.643134,5.525000,65.000000,500.000000,2000.000000,0.027712
0.010000,11.577260,26.662995,6.200000,70.000000,500.000000,0.000000,0.031141
0.010000,12.301866,26.686895,6.925000,75.000000,500.000000,0.000000,0.034798
0.010000,13.076341,26.715363,7.700000,80.000000,500.000000,0.000000,0.038679
0.010000,13.900656,26.748957,8.525000,85.000000,500.000000,0.000000,0.042776
0.010000,14.774772,26.788260,9.400000,90.000000,500.000000,0.000000,0.047084
0.010000,15.698645,26.833884,10.325000,95.000000,500.000000,0.000000,0.051595
0.010000,16.672226,26.886463,11.300000,100.000000,500.000000,0.000000,0.056302
0.010000,17.694458,26.946589,12.324000,104.800000,480.000000,-2000.000000,0.061191
0.010000,18.763282,27.014790,13.395000,109.400000,460.000000,-2000.000000,0.066244
0.010000,19.876637,27.091566,14.511000,113.800000,440.000000,-2000.000000,0.071445
0.010000,21.032454,27.177386,15.670000,118.000000,420.000000,-2000.000000,0.076774
0.010000,22.228661,27.272686,16.870000,122.000000,400.000000,-2000.000000,0.082213
0.010000,23.463188,27.377858,18.109000,125.800000,380.000000,-2000.000000,0.087746
0.010000,24.733958,27.493252,19.385000,129.400000,360.000000,-2000.000000,0.093355
0.010000,26.038895,27.619172,20.696000,132.800000,340.000000,-2000.000000,0.099022
0.010000,27.375923,27.755868,22.040000,136.000000,320.000000,-2000.000000,0.104730
0.010000,28.742968,27.903541,23.415000,139.000000,300.000000,-2000.000000,0.110464
0.010000,30.137957,28.062335,24.819000,141.800000,280.000000,-2000.000000,0.116206
0.010000,31.558820,28.232340,26.250000,144.400000,260.000000,-2000.000000,0.121941
0.010000,33.003493,28.413588,27.706000,146.800000,240.000000,-2000.000000,0.127653
0.010000,34.469915,28.606053,29.185000,149.000000,220.000000,-2000.000000,0.133330
0.010000,35.956031,28.809652,30.685000,151.000000,200.000000,-2000.000000,0.138955
0.010000,37.459794,29.024246,32.204000,152.800000,180.000000,-2000.000000,0.144517
0.010000,38.979165,29.249636,33.740000,154.400000,160.000000,-2000.000000,0.150001
0.010000,40.512113,29.485572,35.291000,155.800000,140.000000,-2000.000000,0.155398
0.010000,42.056615,29.731747,36.855000,157.000000,120.000000,-2000.000000,0.160695
0.010000,43.610660,29.987804,38.430000,158.000000,100.000000,-2000.000000,0.165882
0.010000,45.172244,30.253333,40.014000,158.800000,80.000000,-2000.000000,0.170949
0.010000,46.739374,30.527880,41.605000,159.400000,60.000000,-2000.000000,0.175888
0.010000,48.310071,30.810944,43.201000,159.800000,40.000000,-2000.000000,0.180690
0.010000,49.882360,31.101981,44.800000,160.000000,20.000000,-2000.000000,0.185349
0.010000,51.454281,31.400409,46.400000,160.000000,0.000000,-2000.000000,0.189858
0.010000,53.024864,31.705802,48.000000,160.000000,0.000000,0.000000,0.194215
0.010000,54.594126,32.017915,49.600000,160.000000,0.000000,0.000000,0.198419
0.010000,56.162085,32.336502,51.200000,160.000000,0.000000,0.000000,0.202470
0.010000,57.728767,32.661320,52.800000,160.000000,0.000000,0.000000,0.206369
0.010000,59.294195,32.992125,54.400000,160.000000,0.000000,0.000000,0.210117
0.010000,60.858397,33.328676,56.000000,160.000000,0.000000,0.000000,0.213712
0.010000,62.421407,33.670730,57.600000,160.000000,0.000000,0.000000,0.217156
0.010000,63.983255,34.018048,59.200000,160.000000,0.000000,0.000000,0.220450
0.010000,65.543976,34.370389,60.800000,160.000000,0.000000,0.000000,0.223592
0.010000,67.103610,34.727516,62.400000,160.000000,0.000000,0.000000,0.226584
0.010000,68.662197,35.089190,64.000000,160.000000,0.000000,0.000000,0.229426
0.010000,70.219775,35.455175,65.600000,160.000000,0.000000,0.000000,0.232118
0.010000,71.776392,35.825236,67.200000,160.000000,0.000000,0.000000,0.234660
0.010000,73.332090,36.199138,68.800000,160.000000,0.000000,0.000000,0.237054
0.010000,74.886917,36.576646,70.400000,160.000000,0.000000,0.000000,0.239299
0.010000,76.440920,36.957529,72.000000,160.000000,0.000000,0.000000,0.241395
0.010000,77.994151,37.341553,73.600000,160.000000,0.000000,0.000000,0.243343
0.010000,79.546659,37.728487,75.200000,160.000000,0.000000,0.000000,0.245143
0.010000,81.098497,38.118101,76.800000,160.000000,0.000000,0.000000,0.246796
0.010000,82.649718,38.510165,78.400000,160.000000,0.000000,0.000000,0.248301
0.010000,84.200376,38.904449,80.000000,160.000000,0.000000,0.000000,0.249659
0.010000,85.750525,39.300725,81.600000,160.000000,0.000000,0.000000,0.250871
0.010000,87.300223,39.698766,83.200000,160.000000,0.000000,0.000000,0.251936
0.010000,88.849526,40.098342,84.800000,160.000000,0.000000,0.000000,0.252854
0.010000,90.398491,40.499228,86.400000,160.000000,0.000000,0.000000,0.253626
0.010000,91.947174,40.901197,88.000000,160.000000,0.000000,0.000000,0.254252
0.010000,93.495636,41.304021,89.600000,160.000000,0.000000,0.000000,0.254731
0.010000,95.043933,41.707475,91.200000,160.000000,0.000000,0.000000,0.255065
0.010000,96.592125,42.111333,92.800000,160.000000,0.000000,0.000000,0.255253
0.010000,98.140271,42.515369,94.400000,160.000000,0.000000,0.000000,0.255295
0.010000,99.688430,42.919356,96.000000,160.000000,0.000000,0.000000,0.255191
0.010000,101.236659,43.323071,97.600000,160.000000,0.000000,0.000000,0.254941
0.010000,102.785019,43.726285,99.200000,160.000000,0.000000,0.000000,0.254546
0.010000,104.333568,44.128773,100.800000,160.000000,0.000000,0.000000,0.254004
0.010000,105.882364,44.530310,102.400000,160.000000,0.000000,0.000000,0.253316
0.010000,107.431465,44.930667,104.000000,160.000000,0.000000,0.000000,0.252482
0.010000,108.980929,45.329619,105.600000,160.000000,0.000000,0.000000,0.251501
0.010000,110.530811,45.726938,107.200000,160.000000,0.000000,0.000000,0.250374
0.010000,112.081170,46.122397,108.800000,160.000000,0.000000,0.000000,0.249101
0.010000,113.632061,46.515766,110.400000,160.000000,0.000000,0.000000,0.247680
0.010000,115.183537,46.906818,112.000000,160.000000,0.000000,0.000000,0.246112
0.010000,116.735653,47.295322,113.600000,160.000000,0.000000,0.000000,0.244397
0.010000,118.288462,47.681048,115.200000,160.000000,0.000000,0.000000,0.242534
0.010000,119.842014,48.063766,116.800000,160.000000,0.000000,0.000000,0.240523
0.010000,121.396361,48.443244,118.400000,160.000000,0.000000,0.000000,0.238364
0.010000,122.951553,48.819250,120.000000,160.000000,0.000000,0.000000,0.236056
0.010000,124.507635,49.191549,121.600000,160.000000,0.000000,0.000000,0.233599
0.010000,126.064654,49.559908,123.200000,160.000000,0.000000,0.000000,0.230993
0.010000,127.622656,49.924092,124.800000,160.000000,0.000000,0.000000,0.228237
0.010000,129.181682,50.283864,126.400000,160.000000,0.000000,0.000000,0.225332
0.010000,130.741773,50.638987,128.000000,160.000000,0.000000,0.000000,0.222276
0.010000,132.302969,50.989225,129.600000,160.000000,0.000000,0.000000,0.219070
0.010000,133.865306,51.334337,131.200000,160.000000,0.000000,0.000000,0.215712
