dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.582855,13.569051,0.001000,0.200000,20.000000,2000.000000,6.282014
0.010000,5.583134,13.569051,0.001279,0.027861,-17.213896,-3721.389586,6.282035
0.010000,5.583761,13.569050,0.001905,0.062684,3.482258,2069.615386,6.282084
0.010000,5.584875,13.569049,0.003020,0.111425,4.874120,139.186224,6.282169
0.010000,5.586616,13.569047,0.004760,0.174069,6.264385,139.026464,6.282303
0.010000,5.589121,13.569045,0.007266,0.250589,7.652032,138.764727,6.282496
0.010000,5.592531,13.569043,0.010676,0.340947,9.035785,138.375316,6.282758
0.010000,5.596982,13.569042,0.015127,0.445088,10.414109,137.832332,6.283101
0.010000,5.667770,13.569054,0.085915,7.078835,663.374729,65296.062033,0.000348
0.010000,5.774714,13.569120,0.192859,10.694425,361.558964,-30181.576530,0.000883
0.010000,5.904110,13.569276,0.322255,12.939554,224.512939,-13704.602467,0.001528
0.010000,6.058086,13.569570,0.476231,15.397655,245.810110,2129.717085,0.002296
0.010000,6.238785,13.570067,0.656931,18.069935,267.227945,2141.783491,0.003196
0.010000,6.448328,13.570845,0.866475,20.954456,288.452096,2122.415078,0.004238
0.010000,6.688845,13.572008,1.106995,24.051947,309.749156,2129.706008,0.005431
0.010000,6.962459,13.573680,1.380614,27.361968,331.002063,2125.290720,0.006787
0.010000,7.271295,13.576012,1.689459,30.884424,352.245562,2124.349915,0.008313
0.010000,7.617471,13.579185,2.035649,34.619063,373.463921,2121.835867,0.010020
0.010000,8.003094,13.583415,2.421295,38.564614,394.555156,2109.123512,0.011916
0.010000,8.430272,13.588953,2.848510,42.721477,415.686250,2113.109392,0.014010
0.010000,8.901111,13.596092,3.319403,47.089250,436.777352,2109.110222,0.016309
0.010000,9.417701,13.605167,3.836073,51.667034,457.778362,2100.100995,0.018822
0.010000,9.982125,13.616565,4.400611,56.453848,478.681407,2090.304523,0.021556
0.010000,10.596457,13.630720,5.015107,61.449559,499.571074,2088.966670,0.024517
0.010000,11.262761,13.648125,5.681638,66.653110,520.355113,2078.403952,0.027712
0.010000,11.982024,13.669298,6.401213,71.957446,530.433564,1007.845066,0.031141
0.010000,12.754153,13.694765,7.173761,77.254838,529.739272,-69.429184,0.034798
0.010000,13.579041,13.725086,7.999207,82.544579,528.974124,-76.514770,0.038679
0.010000,14.456581,13.760849,8.877475,87.826783,528.220398,-75.372663,0.042776
0.010000,15.386642,13.802668,9.808476,93.100114,527.333095,-88.730296,0.047084
0.010000,16.369087,13.851184,10.792117,98.364154,526.403923,-92.917220,0.051595
0.010000,17.403763,13.907062,11.828301,103.618408,525.425483,-97.843970,0.056302
0.010000,18.489441,13.970919,12.915856,108.755489,513.708066,-1171.741689,0.061191
0.010000,19.623829,14.043303,14.052551,113.669483,491.399352,-2230.871414,0.066244
0.010000,20.804627,14.124730,15.236153,118.360219,469.073654,-2232.569808,0.071445
0.010000,22.029531,14.215680,16.464429,122.827527,446.730776,-2234.287798,0.076774
0.010000,23.296232,14.316595,17.735144,127.071506,424.397892,-2233.288403,0.082213
0.010000,24.602428,14.427872,19.046071,131.092765,402.125958,-2227.193417,0.087746
0.010000,25.945811,14.549860,20.394982,134.891035,379.826909,-2229.904900,0.093355
0.010000,27.324079,14.682854,21.779650,138.466882,357.584706,-2224.220279,0.099022
0.010000,28.734931,14.827098,23.197858,141.820707,335.382531,-2220.217519,0.104730
0.010000,30.176077,14.982774,24.647388,144.953002,313.229544,-2215.298703,0.110464
0.010000,31.645233,15.150011,26.126031,147.864354,291.135128,-2209.441560,0.116206
0.010000,33.140123,15.328872,27.631583,150.555216,269.086248,-2204.887975,0.121941
0.010000,34.658485,15.519364,29.161848,153.026475,247.125856,-2196.039272,0.127653
0.010000,36.198069,15.721431,30.714635,155.278745,225.227001,-2189.885453,0.133330
0.010000,37.756639,15.934956,32.287764,157.312876,203.413140,-2181.386061,0.138955
0.010000,39.331977,16.159762,33.879061,159.129718,181.684221,-2172.891983,0.144517
0.010000,40.921880,16.395615,35.486363,160.730163,160.044484,-2163.973611,0.150001
0.010000,42.524165,16.642222,37.107515,162.115152,138.498928,-2154.555618,0.155398
0.010000,44.136668,16.899235,38.740371,163.285666,117.051392,-2144.753679,0.160695
0.010000,45.757244,17.166252,40.382798,164.242713,95.704714,-2134.667722,0.165882
0.010000,47.383770,17.442824,42.032670,164.987176,74.446215,-2125.849974,0.170949
0.010000,49.014143,17.728449,43.687873,165.520329,53.315335,-2113.087974,0.175888
0.010000,50.646282,18.022585,45.346305,165.843149,32.282048,-2103.328703,0.180690
0.010000,52.278127,18.324645,47.005870,165.956540,11.339093,-2094.295492,0.185349
0.010000,53.907638,18.634006,48.664487,165.861702,-9.483790,-2082.288253,0.189858
0.010000,55.533813,18.950208,50.321120,165.663256,-19.844631,-1036.084152,0.194215
