dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.861457,311.219786,0.001000,0.200000,20.000000,2000.000000,0.001151
0.010000,5.861729,311.219786,0.001271,0.027109,-17.289114,-3728.911430,0.001130
0.010000,5.862338,311.219787,0.001881,0.060991,3.388263,2067.737702,0.001083
0.010000,5.863423,311.219788,0.002965,0.108418,4.742605,135.434180,0.000999
0.010000,5.865116,311.219790,0.004659,0.169372,6.095468,135.286338,0.000869
0.010000,5.867555,311.219792,0.007097,0.243831,7.445909,135.044126,0.000681
0.010000,5.870872,311.219794,0.010415,0.331759,8.792747,134.683757,0.000426
0.010000,5.875203,311.219795,0.014746,0.433104,10.134559,134.181256,0.000093
0.010000,5.943788,311.219784,0.083330,6.858440,642.533586,63239.902635,6.282857
0.010000,6.050546,311.219721,0.190088,10.675801,381.736062,-26079.752395,6.282337
0.010000,6.179716,311.219571,0.319259,12.917027,224.122636,-15761.342575,6.281709
0.010000,6.333426,311.219286,0.472969,15.371018,245.399074,2127.643849,6.280962
0.010000,6.513813,311.218806,0.653356,18.038751,266.773306,2137.423164,6.280086
0.010000,6.722996,311.218052,0.862541,20.918458,287.970655,2119.734902,6.279072
0.010000,6.963102,311.216924,1.102649,24.010870,309.241211,2127.055614,6.277909
0.010000,7.236253,311.215303,1.375805,27.315559,330.468887,2122.767623,6.276590
0.010000,7.544566,311.213040,1.684127,30.832200,351.664136,2119.524901,6.275103
0.010000,7.890166,311.209960,2.029741,34.561357,372.915741,2125.160492,6.273441
0.010000,8.275151,311.205852,2.414747,38.500632,393.927456,2101.171503,6.271594
0.010000,8.701632,311.200473,2.841263,42.651573,415.094089,2116.663279,6.269554
0.010000,9.171711,311.193538,3.311393,47.013018,436.144522,2105.043234,6.267313
0.010000,9.687480,311.184719,3.827237,51.584369,457.135135,2099.061352,6.264864
0.010000,10.251023,311.173641,4.390889,56.365198,478.082883,2094.774825,6.262199
0.010000,10.864410,311.159879,5.004430,61.354169,498.897075,2081.419133,6.259311
0.010000,11.529713,311.142954,5.669948,66.551807,519.763854,2086.677921,6.256194
0.010000,12.247919,311.122360,6.388449,71.850111,529.830401,1006.654710,6.252847
0.010000,13.018946,311.097582,7.159874,77.142507,529.239590,-59.081118,6.249276
0.010000,13.842692,311.068074,7.984149,82.427415,528.490807,-74.878259,6.245486
0.010000,14.719055,311.033261,8.861203,87.705400,527.798448,-69.235891,6.241482
0.010000,15.647914,310.992540,9.790954,92.975146,526.974595,-82.385301,6.237270
0.010000,16.629140,310.945282,10.773318,98.236366,526.122055,-85.254015,6.232857
0.010000,17.662590,310.890836,11.808201,103.488300,525.193340,-92.871496,6.228251
0.010000,18.747052,310.828593,12.894448,108.624678,513.637810,-1155.552965,6.223463
0.010000,19.880241,310.758014,14.029832,113.538486,491.380766,-2225.704482,6.218510
0.010000,21.059870,310.678587,15.212132,118.229981,469.149523,-2223.124279,6.213410
0.010000,22.283647,310.589835,16.439124,122.699132,446.915104,-2223.441908,6.208179
0.010000,23.549283,310.491318,17.708588,126.946433,424.730120,-2218.498373,6.202836
0.010000,24.854477,310.382638,19.018299,130.971129,402.469596,-2226.052398,6.197396
0.010000,26.196941,310.263445,20.366044,134.774486,380.335656,-2213.393975,6.191877
0.010000,27.574379,310.133436,21.749604,138.355987,358.150104,-2218.555269,6.186296
0.010000,28.984503,309.992363,23.166767,141.716323,336.033634,-2211.646969,6.180668
0.010000,30.425031,309.840032,24.615327,144.855993,313.967033,-2206.660134,6.175009
0.010000,31.893687,309.676307,26.093081,147.775374,291.938071,-2202.896192,6.169336
0.010000,33.388203,309.501108,27.597830,150.474941,269.956695,-2198.137570,6.163662
0.010000,34.906323,309.314417,29.127386,152.955608,248.066707,-2188.998772,6.158004
0.010000,36.445801,309.116272,30.679564,155.217754,226.214592,-2185.211506,6.152375
0.010000,38.004407,308.906772,32.252186,157.262268,204.451409,-2176.318297,6.146788
0.010000,39.579924,308.686077,33.843086,159.089919,182.765140,-2168.626941,6.141257
0.010000,41.170151,308.454401,35.450101,160.701520,161.160089,-2160.505102,6.135795
0.010000,42.772906,308.212015,37.071080,162.097937,139.641657,-2151.843136,6.130411
0.010000,44.386024,307.959248,38.703881,163.280078,118.214082,-2142.757554,6.125119
0.010000,46.007357,307.696478,40.346370,164.248884,96.880583,-2133.349942,6.119927
0.010000,47.634780,307.424134,41.996423,165.005319,75.643503,-2123.707958,6.114846
0.010000,49.266185,307.142696,43.651927,165.550363,54.504438,-2113.906499,6.109884
0.010000,50.899486,306.852684,45.310776,165.884893,33.452975,-2105.146318,6.105049
0.010000,52.532618,306.554665,46.970876,166.010073,12.518062,-2093.491281,6.100349
0.010000,54.163535,306.249240,48.630145,165.926872,-8.320159,-2083.822095,6.095790
0.010000,55.791227,305.936853,50.287543,165.739757,-18.711425,-1039.126628,6.091375
0.010000,57.415710,305.617761,51.943068,165.552563,-18.719475,-0.805017,6.087103
0.010000,59.037005,305.292217,53.596724,165.365621,-18.694123,2.535273,6.082976
0.010000,60.655138,304.960476,55.248513,165.178834,-18.678778,1.534504,6.078992
0.010000,62.270133,304.622789,56.898434,164.992135,-18.669866,0.891141,6.075152
0.010000,63.882020,304.279407,58.546491,164.805663,-18.647205,2.266141,6.071455
0.010000,65.490832,303.930579,60.192686,164.619554,-18.610860,3.634491,6.067902
0.010000,67.096606,303.576550,61.837024,164.433734,-18.582034,2.882579,6.064491
0.010000,68.699377,303.217568,63.479504,164.248067,-18.566734,1.530014,6.061223
0.010000,70.299186,302.853874,65.120133,164.062835,-18.523149,4.358538,6.058098
0.010000,71.896075,302.485712,66.758913,163.877997,-18.483794,3.935496,6.055115
