dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.891371,285.219803,0.001000,0.200000,20.000000,2000.000000,0.001151
0.010000,5.891100,285.219803,0.001271,0.027109,-17.289114,-3728.911430,0.001130
0.010000,5.890490,285.219802,0.001881,0.060991,3.388263,2067.737702,0.001083
0.010000,5.889405,285.219801,0.002965,0.108418,4.742605,135.434180,0.000999
0.010000,5.887712,285.219800,0.004659,0.169372,6.095468,135.286338,0.000869
0.010000,5.885273,285.219798,0.007097,0.243831,7.445909,135.044126,0.000681
0.010000,5.881956,285.219796,0.010415,0.331759,8.792747,134.683757,0.000426
0.010000,5.877625,285.219795,0.014746,0.433104,10.134559,134.181256,0.000093
0.010000,5.935252,285.219785,0.072374,5.762767,532.966301,52283.174157,6.282857
0.010000,6.028494,285.219730,0.165615,9.324163,356.139540,-17682.676090,6.282337
0.010000,6.141324,285.219599,0.278445,11.282988,195.882568,-16025.697228,6.281709
0.010000,6.275608,285.219351,0.412730,13.428482,214.549337,1866.676895,6.280962
0.010000,6.433226,285.218931,0.570348,15.761771,233.328954,1877.961774,6.280086
0.010000,6.616041,285.218272,0.753164,18.281638,251.986638,1865.768379,6.279072
0.010000,6.825930,285.217286,0.963055,20.989104,270.746615,1875.997669,6.277909
0.010000,7.064768,285.215869,1.201897,23.884241,289.513761,1876.714583,6.276590
0.010000,7.334433,285.213889,1.471570,26.967283,308.304103,1879.034278,6.275103
0.010000,7.636814,285.211194,1.773963,30.239311,327.202878,1889.877475,6.273441
0.010000,7.973784,285.207599,2.110952,33.698903,345.959123,1875.624448,6.271594
0.010000,8.347236,285.202889,2.484434,37.348175,364.927228,1896.810546,6.269554
0.010000,8.759061,285.196813,2.896304,41.186972,383.879741,1895.251318,6.267313
0.010000,9.211152,285.189083,3.348461,45.215738,402.876535,1899.679382,6.264864
0.010000,9.705409,285.179367,3.842813,49.435177,421.943918,1906.738314,6.262199
0.010000,10.243727,285.167289,4.381266,53.845324,441.014694,1907.077604,6.259311
0.010000,10.828017,285.152425,4.965746,58.447979,460.265536,1925.084170,6.256194
0.010000,11.459254,285.134324,5.597243,63.149666,470.168736,990.319969,6.252847
0.010000,12.137483,285.112528,6.275822,67.857910,470.824329,65.559340,6.249276
0.010000,12.862742,285.086548,7.001546,72.572374,471.446447,62.211747,6.245486
0.010000,13.635079,285.055867,7.774492,77.294643,472.226834,78.038696,6.241482
0.010000,14.454539,285.019941,8.594739,82.024674,473.003193,77.635988,6.237270
0.010000,15.321168,284.978202,9.462372,86.763365,473.869007,86.581343,6.232857
0.010000,16.235013,284.930058,10.377484,91.511217,474.785218,91.621093,6.228251
0.010000,17.195185,284.874948,11.339237,96.175284,466.406767,-837.845050,6.223463
0.010000,18.199852,284.812372,12.345851,100.661332,448.604791,-1780.197619,6.218510
0.010000,19.247177,284.741853,13.395548,104.969693,430.836064,-1776.872729,6.213410
0.010000,20.335323,284.662937,14.486551,109.100315,413.062218,-1777.384530,6.208179
0.010000,21.462448,284.575201,15.617086,113.053486,395.317066,-1774.515285,6.202836
0.010000,22.626701,284.478256,16.785368,116.828247,377.476087,-1784.097867,6.197396
0.010000,23.826235,284.371752,17.989621,120.425307,359.706007,-1777.007954,6.191877
0.010000,25.059192,284.255379,19.228058,123.843653,341.834620,-1787.138714,6.186296
0.010000,26.323712,284.128872,20.498890,127.083216,323.956357,-1787.826352,6.180668
0.010000,27.617932,283.992011,21.800326,130.143628,306.041161,-1791.519544,6.175009
0.010000,28.939985,283.844628,23.130569,133.024282,288.065370,-1797.579180,6.169336
0.010000,30.287999,283.686602,24.487814,135.724538,270.025598,-1803.977196,6.163662
0.010000,31.660103,283.517865,25.870255,138.244035,251.949691,-1807.590659,6.158004
0.010000,33.054420,283.338403,27.276073,140.581818,233.778357,-1817.133365,6.152375
0.010000,34.469070,283.148252,28.703446,142.737292,215.547407,-1823.095025,6.146788
0.010000,35.902175,282.947504,30.150542,144.709658,197.236578,-1831.082876,6.141257
0.010000,37.351851,282.736302,31.615523,146.498070,178.841215,-1839.536343,6.135795
0.010000,38.816217,282.514844,33.096540,148.101656,160.358618,-1848.259658,6.130411
0.010000,40.293387,282.283377,34.591735,149.519517,141.786034,-1857.258394,6.125119
0.010000,41.781477,282.042200,36.099242,150.750725,123.120804,-1866.523064,6.119927
0.010000,43.278602,281.791661,37.617185,151.794330,104.360492,-1876.031224,6.114846
